address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
Arnulfstraße 150-152,,true,false,München,Team QUARTIER NEUHAUSEN,Neuhausen,,false,115676059,false,48.14702,11.53201,6,835000,false,3,78.24,Wohnglück in Neuhausen: Helle 3-Zimmer-Wohnung mit 2 Bädern und Süd-Loggia,https://www.immobilienscout24.de/expose/115676059,80634
,,true,false,München,Georgia Payr,Neuhausen,,false,116676054,false,,,26,495000,false,4,68,Helle gut geschnittene 4-Zimmerwohnung in ruhiger und verkehrsgünstiger Lage von Neuhausen!,https://www.immobilienscout24.de/expose/116676054,80634
,,true,true,München,Kathrin Röthig,Schwanthalerhöhe,,true,116804376,true,,,30,750000,false,3,85,"Schwanthalerhöhe - ruhige 3-Zimmer-Altbauwohnung mit Balkon, Kaminofen und Wohnküche, WG geeignet!",https://www.immobilienscout24.de/expose/116804376,80339
,,true,true,München,Stephan Kunz,Schwabing-West,,false,115312017,false,,,11,799000,false,3,82,Stilvoll modernisierte Wohnung in ruhiger und sonniger Lage,https://www.immobilienscout24.de/expose/115312017,80797
Hanauer Straße 6,,true,true,München,Beratung  und Verkauf,Moosach,,false,116170181,false,48.17379,11.52889,8,759900,false,3,76.55,***Top-Grundriss*** Schöne Balkonwohng mit 3 Zimmern und großer Wohnküche,https://www.immobilienscout24.de/expose/116170181,80992
,,true,true,München,,Ludwigsvorstadt-Isarvorstadt,,false,115783786,true,,,12,998000,false,2,60,Exklusives und urbanes Wohnen am Gärtnerplatz,https://www.immobilienscout24.de/expose/115783786,80469
Paul-Gerhardt-Allee 6-14,,true,true,München,Vertriebsteam PANDION Vertriebsgesellschaft mbH,Obermenzing,,false,115943516,false,48.14751,11.49416,12,587900,false,2,66.94,PANDION PENTA 2.BA - 2-Zimmer-Wohnung mit Wintergarten und Abstellraum in idealer Lage,https://www.immobilienscout24.de/expose/115943516,81245
Ortlerstr. 11,,false,false,München,Thomas Bletschacher,Sendling-Westpark,,false,114850421,false,48.12084,11.53179,5,868000,false,3,88.31,Klasse 3-Zimmerwohnung,https://www.immobilienscout24.de/expose/114850421,81373
Hansastraße 181,,true,true,München,Vincent Wiederhold,Sendling-Westpark,,false,116787386,false,48.11929,11.53474,12,849900,false,3,79.16,Perfekt geschnittene 3-Zimmer Wohnung mit 2 Bädern und Loggia in Sendling!,https://www.immobilienscout24.de/expose/116787386,81373
Hansastraße 181,,true,true,München,Markus Elsner,Sendling-Westpark,,false,113764495,false,48.11929,11.53474,10,909900,false,4,89.19,Platz für Vier. Großzügige 4.-Zi. Wohnung in München Sendling,https://www.immobilienscout24.de/expose/113764495,81373
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893864,false,48.18615,11.56589,7,649000,false,2,72.33,Gemütliche 2-Zimmer-Wohnung mit sonnigem Südbalkon in gut angebundener Lage im Münchner Norden,https://www.immobilienscout24.de/expose/111893864,80809
,,true,true,München,Thomas Bartsch,Pasing,,true,115054554,false,,,7,829000,false,2,83.3,"Schönes, ruhiges Wohen mitten in der Stadt !  2-Zi-EG-Gartenwohnung W2",https://www.immobilienscout24.de/expose/115054554,80687
Berduxstraße 30,,true,true,München,Frau Margarethe Haugg und Herrn Wolfgang Füchsl,Obermenzing,,false,112064195,false,48.15244,11.48124,11,544700,false,2,67.19,"Viel Platz in 2-Zimmer-Wohnung im 3. OG, großes Bad mit Fenster - Westbalkon in Pasing-Obermenzing",https://www.immobilienscout24.de/expose/112064195,81245
Am Neudeck 10,,true,true,München,Birgit Demmel,Au,,false,115511976,false,48.12352,11.58346,8,934900,false,2,63.48,"HAUS MÜHLBACH - exklusive 2 Zi.-Whg. in der Au, Denkmal-AfA",https://www.immobilienscout24.de/expose/115511976,81541
Peter-Anders-Straße / Berduxstraße -,,true,false,München,,Obermenzing,,true,115673559,false,48.15303,11.4789,13,523500,false,2,65.91,"In Wohlfühlumgebung: Moderne 2-Zimmer-Wohnung mit elegantem, warmem Eichenparkett und Gartenterrasse",https://www.immobilienscout24.de/expose/115673559,81245
Hochstraße 75,,true,false,München,"Customer Support Projekt ""Hoch der Isar""",Haidhausen,,false,116757506,false,48.12227,11.58316,5,915000,false,2,60.74,2-Zimmer-Apartment an der Isar!,https://www.immobilienscout24.de/expose/116757506,81541
Berduxstraße 22,,true,false,München,Carsten Rittberg,Obermenzing,,false,115539904,false,48.15113,11.47842,8,622000,false,3,67.82,Familienfreundliche 3-Zi.-Eigentumswohnung mit Loggia und Gäste-WC,https://www.immobilienscout24.de/expose/115539904,81245
Regerstraße -,,true,false,München,Christina Drax,Haidhausen,,false,114669447,true,48.12089,11.58444,13,984000,false,3,83.41,"Durchdachte Grundrissgestaltung: 3-Zi.-Whg. mit Loggia und intelligenter, funktionaler Aufteilung",https://www.immobilienscout24.de/expose/114669447,81541
Baumbachstraße 5,,true,true,München,immomedia EASY Team,Obermenzing,,false,116756212,false,48.15,11.47592,7,719900,false,3,82.03,EASY - modern geschnittene 3-Zimmer-Wohnung,https://www.immobilienscout24.de/expose/116756212,81245
Paul-Gerhardt-Allee 12,,true,true,München,Hanny Martinez,Obermenzing,,false,112580971,false,48.15022,11.4752,8,557900,false,2.5,61.66,"Sich geborgen fühlen. Durchdacht geplante 2,5-Zimmer-Wohnung in Pasing-Obermenzing",https://www.immobilienscout24.de/expose/112580971,81245
Hellabrunnerstraße 1,,true,true,München,Petros Theodosiadis,Untergiesing,,false,113811258,false,48.11235,11.56582,6,819000,false,2,78.38,Sehr gut aufgeteilte 2 Zimmer Wohnung mit Ost-Ausrichtung und Nähe zur Isar,https://www.immobilienscout24.de/expose/113811258,81543
Waldfriedhofstraße 26,,true,true,München,Franziska Jonzeck,Sendling-Westpark,,false,115525159,false,48.11342,11.51282,6,749000,false,3,78.94,Moderne 3-Zimmer-Gartenwohnung in bester Umgebung - völlig urban und doch herrlich grün,https://www.immobilienscout24.de/expose/115525159,81377
Landsberger Straße 444,,true,true,München,,Pasing,,false,116881892,false,48.14562,11.47017,9,959000,false,3,78.35,Mehr ist mehr im Stadtquartier der Zukunft: Individuelles Wohnen im 3.OG mit Westbalkon ,https://www.immobilienscout24.de/expose/116881892,81241
Landsberger Straße 459,,false,false,München,Niederlassung München,Pasing,,false,114895885,false,48.14533,11.46963,4,679000,false,2,73.3,Hier bist du zu Hause: Gemütliche 2-Zimmer-Wohnung in Pasing,https://www.immobilienscout24.de/expose/114895885,81241
,,true,true,München,Cornelia Koronakis,Bogenhausen,,false,116613121,true,,,21,810000,false,3,81,"Bogenhausen/Haidhausen: Großzügige 2,5-Zimmer Wohnung in guter Lage",https://www.immobilienscout24.de/expose/116613121,81677
,,true,false,München,Eva Maria Skofitsch,Hadern,,false,115441838,false,,,9,648700,false,2,65,"ROMANOPARK - LEBEN ÜBER DER STADT
Neubau-Wohnungen",https://www.immobilienscout24.de/expose/115441838,81375
,,true,true,München,Dirk Beiling,Untermenzing,,false,115571706,false,,,3,939000,false,4,99,MÜNCHEN-UNTERMENZING: WIEBEKING 4!,https://www.immobilienscout24.de/expose/115571706,80997
Werinherstraße 97,,true,true,München,Katharina Sebestyen,Ramersdorf,,false,116755482,true,48.11526,11.59861,15,650000,false,3,82.79,*gepflegt und bezugsfrei*: zentral gelegene 3-Zimmer-Wohnung in der Werinherstraße 97,https://www.immobilienscout24.de/expose/116755482,81541
Kleinstraße 58,,true,true,München,Stefan Keller,Obersendling,,false,115488340,false,48.09655,11.53964,20,495000,false,3,72.48,"3-Zi.-Whg. mit Balkon in Top-Lage, 72 m² Wfl. in 81379 München Obersendling",https://www.immobilienscout24.de/expose/115488340,81379
Bodenseestraße 24-28,,true,false,München,Team  PLAZA Pasing,Pasing,,false,115173766,false,48.14737,11.45497,9,733000,false,3,81.45,"Hochwertige 3-Zi.-Wohnung mit Terrasse und Loggia inmitten des erfrischenden, beliebten Pasings",https://www.immobilienscout24.de/expose/115173766,81241
,,true,true,München,Steven Möbes,Untergiesing,,false,115504022,false,,,13,799000,false,3,82.97,"Schöner Wohnen am Park!
Frisch sanierte 3-Zimmer-Wohnung 
",https://www.immobilienscout24.de/expose/115504022,81545
,,true,true,München,Bärbel Schinner-Ecin,Bogenhausen,,false,114967120,true,,,21,610000,false,3,79.04,ALSAOL Immobilien: Hochwertig renovierte 3-Zimmerwohnung mit Südwestbalkon und Blick ins Grüne!,https://www.immobilienscout24.de/expose/114967120,81927
Am Münchfeld 50,,true,false,München,Sebastian Munte,Allach,,false,115530306,false,48.19543,11.46326,9,769900,false,3,78.59,Holzbauweise im DIAMALTPARK - INNOVATION TRIFFT NACHHALTIGKEIT,https://www.immobilienscout24.de/expose/115530306,80999
,,true,true,München,Engel & Völkers München Waldtrudering  Ottobrunn  Ebersberg,Perlach,,true,115575156,false,,,7,750000,false,3,92,Moderne Wohnung als gute Kapitalanlage,https://www.immobilienscout24.de/expose/115575156,81735
,,true,true,München,Kathrin Röthig,Perlach,,false,116242967,true,,,22,800000,false,4,127,"Perfekt für Familien! Moderne 4-Zimmer-Wohnung  mit großem Süd-Balkon! Kleine Wohnanlage, ruhig und ",https://www.immobilienscout24.de/expose/116242967,81735
,,true,true,München,Kathrin Röthig,Perlach,,false,116242964,true,,,23,800000,false,5,127,"Platzwunder für Familien! 5-Zimmer-Wohnung mit großem Süd-Balkon in Perlach! Ruhig, sonnig, kleine A",https://www.immobilienscout24.de/expose/116242964,81735
Geiselgasteigstraße 100,,true,true,München,L HOMES Team,Harlaching,,false,115966173,false,48.08156,11.55171,6,714000,false,2,61.16,Elegante 2-Zimmer-Wohnung mit Ankleide und großem Süd-Balkon im charmanten Harlaching,https://www.immobilienscout24.de/expose/115966173,81545
