address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
Arnulfstraße 150-152,,true,false,München,Team QUARTIER NEUHAUSEN,Neuhausen,,false,115676059,false,48.14702,11.53201,6,835000,false,3,78.24,Wohnglück in Neuhausen: Helle 3-Zimmer-Wohnung mit 2 Bädern und Süd-Loggia,https://www.immobilienscout24.de/expose/115676059,80634
Schleißheimerstraße 165,,true,true,München,Julia Moser,Schwabing-West,,false,115234463,false,48.1667,11.56371,14,907000,false,4,83.26,"Helle, sehr ruhige 3 Zimmer Wohnung mit großem West-Balkon in Schwabing",https://www.immobilienscout24.de/expose/115234463,80797
,,true,true,München,Stephan Kunz,Schwabing-West,,false,115312017,false,,,11,799000,false,3,82,Stilvoll modernisierte Wohnung in ruhiger und sonniger Lage,https://www.immobilienscout24.de/expose/115312017,80797
Hanauer Straße 6,,true,true,München,Beratung  und Verkauf,Moosach,,false,116170181,false,48.17379,11.52889,8,759900,false,3,76.55,***Top-Grundriss*** Schöne Balkonwohng mit 3 Zimmern und großer Wohnküche,https://www.immobilienscout24.de/expose/116170181,80992
Straßbergerstraße 2,,true,true,München,Ben Schönberg,Milbertshofen,,false,115589909,true,48.18305,11.55272,12,739000,false,3,79.95,sonnige 3-Zimmer Wohnung mit Dachterasse und Alpenblick,https://www.immobilienscout24.de/expose/115589909,80809
Paul-Gerhardt-Allee 6-14,,true,true,München,Vertriebsteam PANDION Vertriebsgesellschaft mbH,Obermenzing,,false,115943516,false,48.14751,11.49416,12,587900,false,2,66.94,PANDION PENTA 2.BA - 2-Zimmer-Wohnung mit Wintergarten und Abstellraum in idealer Lage,https://www.immobilienscout24.de/expose/115943516,81245
,,true,true,München,Claudia Varga,Schwabing,,false,115405622,false,,,16,730000,false,3,93,Schwabing: 3-Zimmer-Wohnung im 5. OG in gefragter Lage,https://www.immobilienscout24.de/expose/115405622,80804
Ortlerstr. 11,,false,false,München,Thomas Bletschacher,Sendling-Westpark,,false,114850421,false,48.12084,11.53179,5,868000,false,3,88.31,Klasse 3-Zimmerwohnung,https://www.immobilienscout24.de/expose/114850421,81373
Hansastraße 181,,true,true,München,Vincent Wiederhold,Sendling-Westpark,,false,116323986,false,48.11929,11.53474,12,809900,false,3,79.85,"Durchdachte 3-Zimmer-Wohnung mit Loggia und 2 Bädern in einem modernen, urbanen Stadtquartier",https://www.immobilienscout24.de/expose/116323986,81373
Hansastraße 181,,true,true,München,Matthias Ziller,Sendling-Westpark,,false,113764495,false,48.11929,11.53474,11,909900,false,4,89.19,Großzügige 4.-Zi. Wohnung in München Sendling,https://www.immobilienscout24.de/expose/113764495,81373
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893864,false,48.18615,11.56589,7,649000,false,2,72.33,Gemütliche 2-Zimmer-Wohnung mit sonnigem Südbalkon in gut angebundener Lage im Münchner Norden,https://www.immobilienscout24.de/expose/111893864,80809
Berduxstraße 30,,true,true,München,Frau Margarethe Haugg und Herrn Wolfgang Füchsl,Obermenzing,,false,112064195,false,48.15244,11.48124,11,544700,false,2,67.19,"Viel Platz in 2-Zimmer-Wohnung im 3. OG, großes Bad mit Fenster - Westbalkon in Pasing-Obermenzing",https://www.immobilienscout24.de/expose/112064195,81245
,,false,false,München,Jan Eike Wendt,Obermenzing,,false,115727414,false,,,14,520000,false,2,62.76,Traumhafte Balkonwohnung,https://www.immobilienscout24.de/expose/115727414,81245
,,true,true,München,Annette Hartmann,Au,,true,114453386,false,,,4,869900,false,2,71.75,Top moderner Neubau für hohe Ansprüche nahe der Isar,https://www.immobilienscout24.de/expose/114453386,81543
Am Neudeck 10,,true,true,München,Birgit Demmel,Au,,false,115511976,false,48.12352,11.58346,8,934900,false,2,63.48,"HAUS MÜHLBACH - exklusive 2 Zi.-Whg. in der Au, Denkmal-AfA",https://www.immobilienscout24.de/expose/115511976,81541
,,false,false,München,Mona Becker,Obermenzing,,false,114807289,true,,,5,825000,false,2,92.2,Perfekt geschnittene 2-Zimmer-Gartenwohnung mit Hobbyraum,https://www.immobilienscout24.de/expose/114807289,81247
Peter-Anders-Straße / Berduxstraße -,,true,false,München,,Obermenzing,,true,115673559,false,48.15303,11.4789,13,523500,false,2,65.91,"In Wohlfühlumgebung: Moderne 2-Zimmer-Wohnung mit elegantem, warmem Eichenparkett und Gartenterrasse",https://www.immobilienscout24.de/expose/115673559,81245
,,true,false,München,"Customer Support Projekt ""Hoch der Isar""",Haidhausen,,false,115207614,false,,,5,915000,false,2,60.74,Höchstes Niveau dank höchster Handwerkskunst! Lernen Sie ein erhabenes Wohnungs-Schmuckstück kennen,https://www.immobilienscout24.de/expose/115207614,81541
Berduxstraße 22,,true,false,München,Carsten Rittberg,Obermenzing,,false,115539904,false,48.15113,11.47842,8,622000,false,3,67.82,Familienfreundliche 3-Zi.-Eigentumswohnung mit Loggia und Gäste-WC,https://www.immobilienscout24.de/expose/115539904,81245
Regerstraße -,,true,false,München,Christina Drax,Haidhausen,,false,114669447,true,48.12089,11.58444,13,984000,false,3,83.41,"Durchdachte Grundrissgestaltung: 3-Zi.-Whg. mit Loggia und intelligenter, funktionaler Aufteilung",https://www.immobilienscout24.de/expose/114669447,81541
Baumbachstraße 5,,false,false,München,immomedia EASY Team,Obermenzing,,false,114831775,false,48.15,11.47592,7,949900,false,2.5,88.03,EASY Skylofts - die Sterne als Nachbar. Das Gefühl: grenzenlos.,https://www.immobilienscout24.de/expose/114831775,81245
Paul-Gerhardt-Allee 12,,true,true,München,Hanny Martinez,Obermenzing,,false,112580971,false,48.15022,11.4752,8,557900,false,2.5,61.66,"Sich geborgen fühlen. Durchdacht geplante 2,5-Zimmer-Wohnung in Pasing-Obermenzing",https://www.immobilienscout24.de/expose/112580971,81245
Hellabrunnerstraße 1,,true,true,München,Petros Theodosiadis,Untergiesing,,false,113811258,false,48.11235,11.56582,6,819000,false,2,78.38,Sehr gut aufgeteilte 2 Zimmer Wohnung mit Ost-Ausrichtung und Nähe zur Isar,https://www.immobilienscout24.de/expose/113811258,81543
Waldfriedhofstraße 26,,true,true,München,Franziska Jonzeck,Sendling-Westpark,,false,115525159,false,48.11342,11.51282,6,749000,false,3,78.94,Moderne 3-Zimmer-Gartenwohnung in bester Umgebung - völlig urban und doch herrlich grün,https://www.immobilienscout24.de/expose/115525159,81377
Landsberger Straße 444,,true,true,München,,Pasing,,false,116120410,false,48.14562,11.47017,9,689000,false,2,62.34,"Gläzende Perspektiven im Quartier Kuvertfabrik Pasing mit E-Mobility, Sharing-Flächen & Concierge.",https://www.immobilienscout24.de/expose/116120410,81241
Landsberger Straße 459,,false,false,München,Niederlassung München,Pasing,,false,114895885,false,48.14533,11.46963,4,679000,false,2,73.3,Hier bist du zu Hause: Gemütliche 2-Zimmer-Wohnung in Pasing,https://www.immobilienscout24.de/expose/114895885,81241
Landsberger Straße 459,,true,false,München,Niederlassung München,Pasing,,false,114895873,false,48.14533,11.46963,5,589000,false,2,60.85,It's a match: Diese 2-Zimmer-Wohnung passt perfekt zu dir,https://www.immobilienscout24.de/expose/114895873,81241
,,true,true,München,Cornelia Koronakis,Bogenhausen,,false,115811410,true,,,22,800000,false,2.5,81,"Bogenhausen/ Haidhausen: Charmante 2,5 Zimmer Wohnung mit Süd-Balkon",https://www.immobilienscout24.de/expose/115811410,81677
,,true,false,München,Eva Maria Skofitsch,Hadern,,false,115441838,false,,,16,648700,false,2,65,"ROMANOPARK - LEBEN ÜBER DER STADT
Neubau-Penthouse-Wohnungen",https://www.immobilienscout24.de/expose/115441838,81375
,,true,true,München,Dirk Beiling,Untermenzing,,false,115571709,false,,,3,599000,false,2,60,MÜNCHEN-UNTERMENZING: WIEBEKING 4!,https://www.immobilienscout24.de/expose/115571709,80997
