address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
Arnulfstraße 150-152,,true,false,München,Team QUARTIER NEUHAUSEN,Neuhausen,,false,115676059,false,48.14702,11.53201,6,835000,false,3,78.24,Wohnglück in Neuhausen: Helle 3-Zimmer-Wohnung mit 2 Bädern und Süd-Loggia,https://www.immobilienscout24.de/expose/115676059,80634
,,true,false,München,Thomas Röthig,Schwabing-West,,false,115695288,false,,,16,800000,false,3,96,Im Herzen Schwabings ca. 96 m² Wohnfläche! 3-Zimmerwohnung mit einem großen Westbalkon,https://www.immobilienscout24.de/expose/115695288,80798
,,false,true,München,Thomas Röthig,Schwabing-West,,false,115695282,true,,,23,900000,false,2,102,Über den  Dächern von München! Exkl. Galeriewhg. im Herzen von Schwabing! 2-Zimmer mit Wintergarten,https://www.immobilienscout24.de/expose/115695282,80798
,,true,true,München,Julia Moser,Schwabing-West,,false,115234463,false,,,14,907000,false,4,83.26,"Helle, sehr ruhige 3 Zimmer Wohnung mit großem West-Balkon in Schwabing",https://www.immobilienscout24.de/expose/115234463,80797
,,true,true,München,Stephan Kunz,Schwabing-West,,false,115312017,false,,,11,849000,false,3,82,PROVISIONSFREI - Stilvoll modernisierte Wohnung in ruhiger und sonniger Lage,https://www.immobilienscout24.de/expose/115312017,80797
Hanauer Straße 6,,true,true,München,Beratung  und Verkauf,Moosach,,false,116170181,false,48.17379,11.52889,8,759900,false,3,76.55,***Top-Grundriss*** Schöne Balkonwohng mit 3 Zimmern und großer Wohnküche,https://www.immobilienscout24.de/expose/116170181,80992
Straßbergerstraße 2,,true,true,München,Ben Schönberg,Milbertshofen,,false,115589909,true,48.18305,11.55272,12,749000,false,3,83.37,sonnige 3-Zimmer Wohnung mit Dachterasse und Alpenblick,https://www.immobilienscout24.de/expose/115589909,80809
Paul-Gerhardt-Allee 6-14,,true,true,München,Vertriebsteam PANDION Vertriebsgesellschaft mbH,Obermenzing,,false,115943516,false,48.14751,11.49416,12,584900,false,2,66.94,PANDION PENTA 2.BA - 2-Zimmer-Wohnung mit Wintergarten und Abstellraum in idealer Lage,https://www.immobilienscout24.de/expose/115943516,81245
,,true,true,München,Thomas Röthig,Milbertshofen,,false,115237220,true,,,29,400000,false,3,62,"Gepflegte 3-Zimmer-Wohnung mit Balkon, Blick ins Grüne und guter Ausstattung! Ideal für Eigennutzer!",https://www.immobilienscout24.de/expose/115237220,80807
,,true,true,München,Claudia Varga,Schwabing,,false,115405622,false,,,16,730000,false,3,93,Schwabing: 3-Zimmer-Wohnung im 5. OG in gefragter Lage,https://www.immobilienscout24.de/expose/115405622,80804
