address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
,,false,true,München,Stefanie Geim,Neuhausen,,false,115216877,true,,,19,680000,false,3,77,Pures Wohngefühl und Lifestyle in sehr ruhiger Lage zum Innenhof!,https://www.immobilienscout24.de/expose/115216877,80636
,,false,true,München,Thomas Röthig,Neuhausen,,false,114475109,true,,,44,1000000,false,4,123.5,Denkmal Altbau! 3-Zimmer-DG-Wohnung ca. 123 m² mit Galerie & Baugenehmigung für Dachterrasse +Garage,https://www.immobilienscout24.de/expose/114475109,80634
Arnulfstraße 150-152,,true,false,München,Team QUARTIER NEUHAUSEN,Neuhausen,,false,114467687,false,48.14702,11.53201,6,958000,false,3,77.89,Durchdachte 3-Zimmer-Wohnung mit 2 Bädern und Süd-Loggia in Toplage in der Großstadt,https://www.immobilienscout24.de/expose/114467687,80634
,,true,true,München,,Schwabing-West,,false,115312017,false,,,9,849000,false,3,82,Stilvoll modernisierte Wohnung in ruhiger und sonniger Lage,https://www.immobilienscout24.de/expose/115312017,80797
Hanauer Straße 6,,true,true,München,Beratung  und Verkauf,Moosach,,false,114982622,false,48.17379,11.52889,7,724900,false,3,75.98,***Perfekter Grundriss*** Geräumige 3-Zimmer-Wohnung mit Süd-Loggia und herrlicher Wohnküche,https://www.immobilienscout24.de/expose/114982622,80992
Paul-Gerhardt-Allee 6-14,,true,true,München,Vertriebsteam PANDION Vertriebsgesellschaft mbH,Obermenzing,,false,115397646,false,48.14751,11.49416,12,653900,false,3,77.47,PANDION PENTA 2.BA - Familienfreundliche 3-Zimmer-Wohnung mit Wintergarten und 2 modernen Bädern,https://www.immobilienscout24.de/expose/115397646,81245
,,true,true,München,Thomas Röthig,Milbertshofen,,false,115237220,true,,,29,400000,false,3,62,"Gepflegte 3-Zimmer-Wohnung mit Balkon, Blick ins Grüne und guter Ausstattung! Ideal für Eigennutzer!",https://www.immobilienscout24.de/expose/115237220,80807
Ortlerstr. 11,,false,false,München,Thomas Bletschacher,Sendling-Westpark,,false,114850421,false,48.12084,11.53179,5,868000,false,3,88.31,Klasse 3-Zimmerwohnung,https://www.immobilienscout24.de/expose/114850421,81373
Hansastraße 181,,true,true,München,Markus Elsner,Sendling-Westpark,,false,114308607,false,48.11929,11.53474,11,741900,false,3,71.24,"Perfekte 3-Zi. Wohnung für kleine Familie mit 2 Bädern, Loggia und Balkon!",https://www.immobilienscout24.de/expose/114308607,81373
Hansastraße 181,,true,true,München,Matthias Ziller,Sendling-Westpark,,false,113764495,false,48.11929,11.53474,11,909900,false,4,89.19,Platz für Vier. Großzügige 4.-Zi. Wohnung in München Sendling,https://www.immobilienscout24.de/expose/113764495,81373
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893864,false,48.18615,11.56589,7,649000,false,2,72.33,Gemütliche 2-Zimmer-Wohnung mit sonnigem Südbalkon in gut angebundener Lage im Münchner Norden,https://www.immobilienscout24.de/expose/111893864,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893860,false,48.18615,11.56589,6,869000,false,3,82.75,Sonniger Balkon und hochwertige Ausstattung: moderne 3-Zimmer-Wohnung in Milbertshofen,https://www.immobilienscout24.de/expose/111893860,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893859,false,48.18615,11.56589,6,927000,false,3,84.25,Großer Balkon und moderne Ausstattung: geräumige 3-Zimmer-Wohnung in Milbertshofen,https://www.immobilienscout24.de/expose/111893859,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893839,false,48.18615,11.56589,6,947000,false,3,84.17,Gut angebundene Lage: moderne 3-Zimmer-Wohnung in Milbertshofen mit großem Balkon,https://www.immobilienscout24.de/expose/111893839,80809
Schleißheimer Straße 321,,false,false,München,Niederlassung München,Milbertshofen,,false,111893832,false,48.18615,11.56589,7,647000,false,2,70.18,Großzügige Dachterrasse in Südausrichtung: 2-Zimmer-Wohnung in zentrumsnaher Lage in Milbertshofen,https://www.immobilienscout24.de/expose/111893832,80809
Berduxstraße 30,,true,true,München,Frau Margarethe Haugg und Herrn Wolfgang Füchsl,Obermenzing,,false,112064195,false,48.15244,11.48124,11,544700,false,2,67.19,"Viel Platz in 2-Zimmer-Wohnung im 3. OG, großes Bad mit Fenster - Westbalkon in Pasing-Obermenzing",https://www.immobilienscout24.de/expose/112064195,81245
Berduxstraße 22,,true,false,München,Dieter List,Obermenzing,,false,115237081,false,48.15112,11.48067,8,708000,false,3,75.49,"Durchdacht geplante Familien-Whg: 2 Loggien, 2 Bäder, davon 1 x en suite, Abstellfläche",https://www.immobilienscout24.de/expose/115237081,81245
Peter-Anders-Straße / Berduxstraße -,,true,false,München,,Obermenzing,,false,114652558,false,48.15303,11.4789,13,537700,false,2,65.57,Freuen Sie sich auf eine exklusive Neubauwohnung mit viel Platz und schöner Loggia,https://www.immobilienscout24.de/expose/114652558,81245
,,true,false,München,"Customer Support Projekt ""Hoch der Isar""",Haidhausen,,false,115207614,false,,,5,915000,false,2,60.74,Höchstes Niveau dank höchster Handwerkskunst! Lernen Sie ein erhabenes Wohnungs-Schmuckstück kennen,https://www.immobilienscout24.de/expose/115207614,81541
Regerstraße -,,true,false,München,Christina Drax,Haidhausen,,false,114669447,true,48.12089,11.58444,13,994000,false,3,83.41,"Durchdachte Grundrissgestaltung: 3-Zi.-Whg. mit Loggia und intelligenter, funktionaler Aufteilung",https://www.immobilienscout24.de/expose/114669447,81541
Baumbachstraße 5,,false,false,München,immomedia EASY Team,Obermenzing,,false,114831775,false,48.15,11.47592,7,949900,false,2.5,88.03,EASY Skylofts - die Sterne als Nachbar. Das Gefühl: grenzenlos.,https://www.immobilienscout24.de/expose/114831775,81245
Paul-Gerhardt-Allee 12,,true,true,München,Hanny Martinez,Obermenzing,,false,112580971,false,48.15022,11.4752,8,541900,false,2.5,61.66,"Sich geborgen fühlen. Durchdacht geplante 2,5-Zimmer-Wohnung in Pasing-Obermenzing",https://www.immobilienscout24.de/expose/112580971,81245
Hellabrunnerstraße 1,,true,true,München,Petros Theodosiadis,Untergiesing,,false,113811258,false,48.11235,11.56582,6,819000,false,2,78.38,Sehr gut aufgeteilte 2 Zimmer Wohnung mit Ost-Ausrichtung und Nähe zur Isar,https://www.immobilienscout24.de/expose/113811258,81543
,,true,true,München,Holger Bebenroth,Feldmoching,,false,115089102,true,,,22,549000,false,2,62,Vermietete 2-Zimmer-Wohnung mit Balkon und hochwertiger Einbauküche in Top-Lage,https://www.immobilienscout24.de/expose/115089102,80995
Kornwegerstraße 34,,true,true,München,Manuel Kirzinger,Hadern,,false,111260922,false,48.11677,11.49797,4,870000,false,2.5,106.9,Wunderschöne Neubau-Luxus-Erdgeschosswohnung mit Hobbyraum,https://www.immobilienscout24.de/expose/111260922,81375
Landsberger Straße 444,,true,true,München,,Pasing,,false,115310564,false,48.14562,11.47017,9,739000,false,2,66.48,Modernes Apartment im Dachgeschoss mit Südbalkon und allem vor der Haustür. Ideale Kapitalanlage.,https://www.immobilienscout24.de/expose/115310564,81241
Landsberger Straße 459,,false,false,München,Niederlassung München,Pasing,,false,114895885,false,48.14533,11.46963,4,679000,false,2,73.3,Hier bist du zu Hause: Gemütliche 2-Zimmer-Wohnung in Pasing,https://www.immobilienscout24.de/expose/114895885,81241
Landsberger Straße 459,,true,false,München,Niederlassung München,Pasing,,false,114895873,false,48.14533,11.46963,5,589000,false,2,60.85,It's a match: Diese 2-Zimmer-Wohnung passt perfekt zu dir,https://www.immobilienscout24.de/expose/114895873,81241
,,true,false,München,,Hadern,,false,115441838,false,,,16,648700,false,2,65,"ROMANOPARK - LEBEN ÜBER DER STADT
Neubau-Penthouse-Wohnungen",https://www.immobilienscout24.de/expose/115441838,81375
,,true,true,München,Kathrin Röthig,Bogenhausen,,false,114689936,false,,,22,500000,false,2,74,Schöne Lage in Bogenhausen über dem Herzogpark - 2-Zimmerwohnung mit großem Balkon / Westausrichtung,https://www.immobilienscout24.de/expose/114689936,81925
Loichingerstr. 10,,true,false,München,Otto Eder,Obermenzing,,false,114964485,false,48.15717,11.46051,10,998491,false,2,75.61,Villenpark: Elegante 2-Zimmer-Wohnung mit Balkon im Stadtvillenstil in Obermenzing,https://www.immobilienscout24.de/expose/114964485,81245
Bodenseestraße 24-28,,true,false,München,Team  PLAZA Pasing,Pasing,,false,115173766,false,48.14737,11.45497,9,732000,false,3,81.45,"Hochwertige 3-Zi.-Wohnung mit Terrasse und Loggia inmitten des erfrischenden, beliebten Pasings",https://www.immobilienscout24.de/expose/115173766,81241
,,true,true,München,Felix Mayer,Freimann,,false,114506429,true,,,14,630000,false,3,78,Bezugsfreie 3-Zimmer-Wohnung in beliebter Wohnlage und einen Katzensprung zum Englischen Garten,https://www.immobilienscout24.de/expose/114506429,80939
,,true,true,München,Frau Bärbel Schinner-Ecin,Bogenhausen,,false,114967120,true,,,21,610000,false,3,75.5,"ALSAOL Immobilien: Hochwertige, renovierte 3-Zimmerwohnung mit Südwestbalkon und Blick ins Grüne!",https://www.immobilienscout24.de/expose/114967120,81927
,,true,true,München,Steven Möbes,Harlaching,,false,115305200,true,,,12,720000,false,2,72.48,"Kernsanierte 2-Zimmer-Wohnung in Bestlage -
Ihr neues Zuhause wartet auf Sie!
",https://www.immobilienscout24.de/expose/115305200,81545
Willroiderstraße 16,,true,true,München,Ihr Vertriebsteam INVENTIO PROJECTPARTNER GmbH,Harlaching,,true,115289243,false,48.08872,11.55065,9,995900,false,2,65.28,First Class wohnen an der Isar! Hochwertige 2-Zimmer-Terrassenwohnung mit Garten,https://www.immobilienscout24.de/expose/115289243,81545
Am Münchfeld 50a,,true,false,München,Sebastian Munte,Allach,,false,114197861,false,48.19543,11.46326,10,749900,false,4,92.88,"Viel Freiraum, Licht und Lebensqualität für die Familie - Zeitlos elegante 4-Zi.-Whg. mit Terrasse",https://www.immobilienscout24.de/expose/114197861,80999
