address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
,,true,true,München,Magdalena Aichler,Neuhausen,,false,124512271,false,,,14,924900,false,3,71.1,DAWONIA - provisionsfrei - LoLa - Das Spektrum eines vielfältigen Lebens in der Maxvorstadt,https://www.immobilienscout24.de/expose/124512271,80335
Arnulfstraße 150-152,,true,false,München,Team QUARTIER NEUHAUSEN,Neuhausen,,false,122980038,false,48.14702,11.53201,6,869000,false,3,72.99,Zukunftsorientiert in Toplage! 3-Zimmer-Wohnung mit modernem Wohnkomfort und sonniger Loggia,https://www.immobilienscout24.de/expose/122980038,80634
Guldeinstraße 32a,,true,true,München,Dagmar Winter,Schwanthalerhöhe,,false,124844433,false,48.13903,11.53243,4,970000,false,3,85.8,DAS GULDEIN,https://www.immobilienscout24.de/expose/124844433,80339
Hanauer Straße 6,,true,true,München,Beratung  und Verkauf,Moosach,,false,118637407,false,48.17379,11.52889,8,999900,false,4,102.22,***Ideal geschnittene 4-Zimmer-Wohnung mit sonnigem Südbalkon und großzügiger Raumaufteilung,https://www.immobilienscout24.de/expose/118637407,80992
Schillerstraße 41,,true,false,München,Christine Schwarz,Ludwigsvorstadt-Isarvorstadt,,false,121227785,true,48.13517,11.561,14,799900,false,2,65.37,Extravagante 2-Zimmer-Wohnung mit Balkon inmitten des unverwechselbaren Münchner Lifestyles,https://www.immobilienscout24.de/expose/121227785,80336
Ortlerstr. 11,,true,true,München,Thomas Bletschacher,Sendling-Westpark,,false,123119812,false,48.12084,11.53179,10,858000,false,3,77.63,Traumhafte Wohnung in Toplage direkt am Westpark,https://www.immobilienscout24.de/expose/123119812,81373
Bertholdstraße 2,,true,false,München,Niederlassung München,Milbertshofen,,false,111893859,false,48.18618,11.56529,9,909000,false,3,84.25,Großer Balkon und moderne Ausstattung: geräumige 3-Zimmer-Wohnung in Milbertshofen,https://www.immobilienscout24.de/expose/111893859,80809
Hansastraße 181,,true,true,München,Matthias Ziller,Sendling-Westpark,,false,124976970,false,48.11929,11.53474,10,873900,false,3,80.14,Erstbezug München Sendling: Geräumige und helle 3-Zimmer-Wohnung im 4. OG,https://www.immobilienscout24.de/expose/124976970,81373
,,true,true,München,Karin Kroner,Milbertshofen,,false,122688170,true,,,10,549000,false,3,77.59,Top Lage Milbertshofen! Sonnige 3 Zimmer Wohnung mit Blick in den Park!,https://www.immobilienscout24.de/expose/122688170,80807
Griegstraße 22-24,,false,true,München,Walter Tamegger,Milbertshofen,,false,122919059,false,48.18268,11.58145,12,928000,false,3,65.1,NEUBAU: Helle 3-Zimmer-Wohnung mit optimaler Süd-West-Ausrichtung und eleganter Ausstattung,https://www.immobilienscout24.de/expose/122919059,80807
Berduxstraße 30,,true,true,München,Bayerische Landessiedlung Vertriebsteam,Obermenzing,,true,110642314,false,48.15244,11.48124,10,765900,false,3,90.14,3-Zimmer mit 2 Terrassen & 2 Gärten - vis-a-vis Schloßpark Nymphenburg!,https://www.immobilienscout24.de/expose/110642314,81245
Berduxstraße 22,,true,false,München,Dieter List,Obermenzing,,false,124175619,false,48.15113,11.47842,8,849000,false,3,88.43,"3-Zi.-Wohnung mit Dachterrasse im 3. OG: 2 Schlafzi., Bad mit Badewanne und sep. Duschbad",https://www.immobilienscout24.de/expose/124175619,81245
Maenherstraße 41,,false,false,München,Heinz Feicht-Riedmair,Hadern,,false,119714638,false,48.12395,11.49566,6,814900,false,3,83.95,3-Zimmer-Penthouse mit Gäste WC und herrlichem Wohnbereich,https://www.immobilienscout24.de/expose/119714638,81375
Regerstraße 28,,true,false,München,Christina Drax,Haidhausen,,false,122613188,true,48.12153,11.58537,10,841000,false,2,63.04,Geräumige und helle 2-Zimmer Wohnung,https://www.immobilienscout24.de/expose/122613188,81541
Regerstraße 28,,true,false,München,Christina Drax,Haidhausen,,false,112822643,true,48.12153,11.58537,11,867000,false,3,72.7,Zukunftssichere Kapitalanlage,https://www.immobilienscout24.de/expose/112822643,81541
,,false,false,München,Büro/Zentrale immomedia Immobilien GmbH,Obermenzing,,false,124356484,false,,,9,0,false,4,160,Wohnung zu verkaufen,https://www.immobilienscout24.de/expose/124356484,81245
,,true,false,München,Andreas Pribylla,Obermenzing,,false,125419903,true,,,16,948000,false,2.5,82.63,Nymphenburg/Obermenzing - Helles Dachgeschossflair in ruhiger Lage - Ohne Käuferprovision!,https://www.immobilienscout24.de/expose/125419903,80997
Paul-Gerhardt-Allee 12,,true,true,München,Hanny Martinez,Obermenzing,,false,123201292,false,48.15022,11.4752,8,697900,false,3,68.97,Urbane 3-Zimmer-Wohnung mit Loggia in einem lebendigen Quartier mit ruhigen und grünen Oasen,https://www.immobilienscout24.de/expose/123201292,81245
Waldfriedhofstraße 26,,true,true,München,Heinz Feicht-Riedmair,Sendling-Westpark,,false,115525093,false,48.11342,11.51282,8,711000,false,3,70.99,Traumhafte 3-Zimmer-Wohnung mit offenem Wohnbereich zum Wohlfühlen,https://www.immobilienscout24.de/expose/115525093,81377
Bärmannstraße 1,,true,true,München,,Obermenzing,,false,121530610,false,48.1562,11.47284,11,750000,false,2,61.52,OBERMENZING - BÄRMANNSTRASSE 1 - Ideal zur Vermietung - Zweizimmer in Bestlage,https://www.immobilienscout24.de/expose/121530610,81247
