address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
Peter-Anders-Straße / Berduxstraße -,,true,false,München,,Obermenzing,,false,118935193,false,48.15303,11.4789,13,547900,false,2,65.57,"Paradiesisch schön, praktisch gelegen! Tolle 2-Zimmer-Wohnung mit Loggia und Barrierefreiheit",https://www.immobilienscout24.de/expose/118935193,81245
Hochstraße 75,,true,false,München,"Customer Support Projekt ""Hoch der Isar""",Haidhausen,,false,119751012,true,48.12227,11.58316,5,925000,false,2,60.74,2-Zimmer-Apartment an der Isar!,https://www.immobilienscout24.de/expose/119751012,81541
Hermine-von-Parish-Straße 40,,true,true,München,Vertriebsteam PANDION Vertriebsgesellschaft mbH,Obermenzing,,false,116885557,false,48.15023,11.47853,13,776900,false,3,90.44,PANDION PENTA 2.BA - Gut geschnittene 3-Zimmerwohnung mit zwei Bädern und großer Loggia,https://www.immobilienscout24.de/expose/116885557,81245
Berduxstraße 22,,true,false,München,Dieter List,Obermenzing,,false,117654729,false,48.15113,11.47842,9,725000,false,3,76.19,"3-Zi.-Eigentumswohnung mit 2 Bädern, davon ein Bad en suite mit Badewanne, 2 Loggien",https://www.immobilienscout24.de/expose/117654729,81245
Regerstraße -,,true,false,München,Christina Drax,Haidhausen,,false,114669447,true,48.12089,11.58444,13,984000,false,3,83.41,"Durchdachte Grundrissgestaltung: 3-Zi.-Whg. mit Loggia und intelligenter, funktionaler Aufteilung",https://www.immobilienscout24.de/expose/114669447,81541
,,true,false,München,Suleiman Hotaki,Feldmoching,,false,119423913,true,,,6,418000,false,3,65.43,Feldmoching - Charmantes Wohnen mit ruhiger Westloggia - Investment,https://www.immobilienscout24.de/expose/119423913,80995
Baumbachstraße 5,,false,false,München,immomedia EASY Team,Obermenzing,,false,117357598,false,48.15,11.47592,7,949900,false,3,88.03,EASY Skylofts - dem Himmel so nah - stylische 3-Zimmer-Wohnung mit offenem Arbeitszimmer,https://www.immobilienscout24.de/expose/117357598,81245
Paul-Gerhardt-Allee 12,,true,true,München,Hanny Martinez,Obermenzing,,false,112580971,false,48.15022,11.4752,8,557900,false,2.5,61.66,"Sich geborgen fühlen. Durchdacht geplante 2,5-Zimmer-Wohnung in Pasing-Obermenzing",https://www.immobilienscout24.de/expose/112580971,81245
Hellabrunnerstraße 1,,true,true,München,Petros Theodosiadis,Untergiesing,,false,113811258,false,48.11235,11.56582,7,819000,false,2,78.38,Sehr gut aufgeteilte 2 Zimmer Wohnung mit Ost-Ausrichtung und Nähe zur Isar,https://www.immobilienscout24.de/expose/113811258,81543
Waldfriedhofstraße 26,,true,true,München,Heinz Feicht-Riedmair,Sendling-Westpark,,false,115525093,false,48.11342,11.51282,9,711000,false,3,70.99,Traumhafte 3-Zimmer-Wohnung mit offenem Wohnbereich zum Wohlfühlen,https://www.immobilienscout24.de/expose/115525093,81377
,,true,true,München,Thomas Röthig,Obermenzing,,false,118353516,true,,,27,500000,false,2,63,"Villenviertel in Pasing, ganz ruhig gelegen, sonnige 2 Zimmer Gartenwohnung, barrierefrei, Garage",https://www.immobilienscout24.de/expose/118353516,81245
Landsberger Straße 444,,true,true,München,,Pasing,,false,119339142,false,48.14562,11.47017,10,739000,false,2,62.34,Neuer Lebensraum im Dachgeschoss für ein flexible life in der Kuvertfabrik Pasing.  ,https://www.immobilienscout24.de/expose/119339142,81241
Landsberger Straße 459,,false,false,München,Niederlassung München,Pasing,,false,114895885,false,48.14533,11.46963,5,698500,false,2,73.3,Hier bist du zu Hause: Gemütliche 2-Zimmer-Wohnung in Pasing inklusive TG-Stellplatz,https://www.immobilienscout24.de/expose/114895885,81241
,,true,false,München,Eva Maria Skofitsch,Hadern,,false,115441838,false,,,9,648700,false,2,65,"ROMANOPARK - LEBEN ÜBER DER STADT
Neubau-Wohnungen",https://www.immobilienscout24.de/expose/115441838,81375
,,true,false,München,Andreas Pribylla,Obergiesing,,false,118906477,true,,,19,568000,false,3,79,Obergiesing - Helle Maisonette mit sonnigem Balkon  - Virtuelle Besichtigung/360°-Tour,https://www.immobilienscout24.de/expose/118906477,81541
,,true,true,München,Sandra Röpert,Bogenhausen,,false,119370754,true,,,29,920000,false,4,102.23,Traumhafte 4 Zimmer Wohnung mit großem Balkon in Bogenhausen,https://www.immobilienscout24.de/expose/119370754,81677
Werinherstraße 97,,true,true,München,Katharina Sebestyen,Ramersdorf,,false,119327697,true,48.11526,11.59861,16,599000,false,3,82.79,"*gepflegt, bezugsfrei und zentral*:  3-Zimmer-Wohnung in der Werinherstraße 97",https://www.immobilienscout24.de/expose/119327697,81541
Bodenseestraße 24-28,,true,false,München,Team  PLAZA Pasing,Pasing,,false,118912948,false,48.14737,11.45497,8,856000,false,3,76.88,Wohnen mit Ausblick in eleganter Penthouse-Wohnung + West-Loggia in München Pasing,https://www.immobilienscout24.de/expose/118912948,81241
,,true,true,München,Kathrin Röthig,Am Hart,,true,117847558,true,,,31,650000,false,4,90,"Helle 4-Zimmer-Gartenwohnung mit 2 Terrassen direkt am Naturschutzgebiet ""Panzerwiese"" und nahe BMW!",https://www.immobilienscout24.de/expose/117847558,80937
,,true,true,München,Thomas Röthig,Obermenzing,,false,118912810,true,,,20,350000,false,2.5,64,"Eigennutzer aufgepasst! Penthouse Wohnung, hell, Rundumbalkon, 2,5 Zimmer Wohnung, Blick ins Grüne",https://www.immobilienscout24.de/expose/118912810,81245
Am Münchfeld 50,,true,false,München,Sebastian Munte,Allach,,false,115530306,false,48.19543,11.46326,9,769900,false,3,78.59,Holzbauweise im DIAMALTPARK - INNOVATION TRIFFT NACHHALTIGKEIT,https://www.immobilienscout24.de/expose/115530306,80999
,,true,true,München,Ben Schönberg,Bogenhausen,,false,119501682,true,,,16,820000,false,3,93.3,"hell und modern, 3-Zimmer Dachterassenwohnung in Johanneskirchen-Bogenhausen",https://www.immobilienscout24.de/expose/119501682,81927
Geiselgasteigstraße 100,,true,true,München,L HOMES Team,Harlaching,,false,115966173,false,48.08156,11.55171,6,714000,false,2,61.16,Elegante 2-Zimmer-Wohnung mit Ankleide und großem Süd-Balkon im charmanten Harlaching,https://www.immobilienscout24.de/expose/115966173,81545
Geiselgasteigstraße 100,,true,true,München,L HOMES Team,Harlaching,,true,115965267,false,48.08156,11.55171,10,935000,false,3,8280,Wohnen mit hohem Freizeitwert: 3-Zimmer-Maisonette mit sonnigem Garten in erstklassiger Umgebung,https://www.immobilienscout24.de/expose/115965267,81545
Voglerstraße 2,,false,true,München,Beratung und Verkauf,Aubing,,true,118908901,false,48.13779,11.42922,6,609900,false,2.5,71,"Ideal geschnittene 2,5-Zi.-Gartenwohnung mit großem Wohn-Ess-Kochbereich",https://www.immobilienscout24.de/expose/118908901,81249
Pasinger Straße 18,,true,true,München (Kreis),Beratung und Verkauf,Gräfelfing,,false,114953035,false,48.11758,11.43972,6,880650,false,3,85.5,Hell & freundlich! Perfekte 3-Zimmer-Wohnung mit 2 Balkonen und hoher Lebensqualität,https://www.immobilienscout24.de/expose/114953035,82166
Strahlenfelser Str. 21,,true,true,München,Michael Klein,Aubing,,true,118398451,false,48.14705,11.42246,11,728000,false,3.5,82.9,"Herrliche 3,5 Zi-Galerie-Dachgeschosswohnung! Ruhige und zentrale Bestlage Aubing",https://www.immobilienscout24.de/expose/118398451,81243
Fritz-Bauer-Straße 13,,true,true,München,Vincent Wiederhold,Aubing,,false,113785660,false,48.14035,11.42164,10,749900,false,4,84.63,Modern. Hell. Freundlich. 4-Zimmer-Wohnung im aufstrebenden Münchner Westen,https://www.immobilienscout24.de/expose/113785660,81249
Fritz-Bauer-Straße 28,,true,false,München,Ralf Schülzke,Aubing,,false,115807947,false,48.13958,11.42031,8,869000,false,4,98.21,4-Zimmer-Eigentumswohn. mit Balkon und Schlafzimmer mit en suite Bad,https://www.immobilienscout24.de/expose/115807947,81249
Fritz-Bauer-Straße 28,,true,false,München,Christian Hartmann,Aubing,,false,114235315,false,48.13958,11.42031,7,679000,false,3,84.02,"Bezugsfertig! 3-Zimmer-Eigentumswohnung mit Loggia, 2 Bädern und Fußbodenheizung",https://www.immobilienscout24.de/expose/114235315,81249
Osterangerstraße 13,,true,false,München,Petros Theodosiadis,Langwied,,true,117829868,false,48.17621,11.41822,18,469000,false,2,65.26,2-Zimmer Wohnung mit großem Wohn-Ess- und Kochbereich,https://www.immobilienscout24.de/expose/117829868,81249
Peschelanger x,,true,false,München,Ihr  Partner für Immobilienversteigerungen,Perlach,,false,119351390,false,48.10796,11.6563,5,476000,false,3,85.1,WOHNUNG MIT 85.1 m² WOHNFLÄCHE (inkl. Balkon/Terrasse),https://www.immobilienscout24.de/expose/119351390,81735
Gustav-Heinemann-Ring 133,,true,false,München,Victoria Gerber,Perlach,,false,116866574,false,48.08922,11.64234,13,899900,false,4,128.7,"Großzügige Dachterrasse im grünen Innenhof mit separatem Hauseingang
",https://www.immobilienscout24.de/expose/116866574,81739
Federseestraße 8,,true,false,München,Christian Hartmann,Lochhausen,,false,117865039,false,48.17645,11.40372,7,636000,false,3,78.42,"3-Zi.-Wohnung: Süd-Balkon, 1 Tageslichtbad, 1 Duschbad, 2 Schlafzimmer",https://www.immobilienscout24.de/expose/117865039,81249
Federseestraße 8,,true,false,München,Christian Hartmann,Lochhausen,,false,117151530,false,48.17645,11.40372,8,632000,false,3,78.18,"3-Zi.-Wohnung mit Süd-Balkon, Fußbodenheizung, Badewanne und separatem Duschbad",https://www.immobilienscout24.de/expose/117151530,81249
Carl-Wery-Straße 35,,true,true,München,"Customer Support Projekt ""R.evo""",Perlach,,false,116455948,true,48.08865,11.64502,9,624736,false,3,66.8,Top-Investment in München: Immobilien-Paket 3 Business Apartments,https://www.immobilienscout24.de/expose/116455948,81739
Alexisweg 1,,true,false,München,Frank Possinger,Perlach,,false,119715589,false,48.10137,11.66446,10,719000,false,4,94.78,"Platz für die Familie! 4-Zi.-Wohnung mit 2 Bädern, Gäste WC und 2 Loggien",https://www.immobilienscout24.de/expose/119715589,81735
Alexisweg 1,,true,false,München,Alexander Eicher,Perlach,,false,116045653,false,48.10137,11.66446,10,917000,false,4,107.14,"TOP-Wohnung: 4-Zi., Tageslichtbad, sep. Duschbad, 4 Balkone (!) und ideale Ost-Süd-West Ausrichtung",https://www.immobilienscout24.de/expose/116045653,81735
,,true,true,München,Claudius Osterried,Lochhausen,,false,114360775,true,,,20,797000,false,4.5,122.5,"Raumwunder! Moderne Maisonettewohnung, ideal für Familien",https://www.immobilienscout24.de/expose/114360775,81249
,,true,true,München,Stefanie Geim,Trudering,,false,119750452,true,,,29,960000,false,5,223,Für Kreative und Individualisten…  Ihr Refugium auf zwei Ebenen freut sich auf Sie!,https://www.immobilienscout24.de/expose/119750452,81827
,,true,false,Fürstenfeldbruck (Kreis),Peter Schiefer,Puchheim,,true,118596823,false,,,2,390000,false,3,84,3 Zi. Wohnung mit 2 Balkonen in Puchheim,https://www.immobilienscout24.de/expose/118596823,82178
Rathausstr. 2,,true,false,München (Kreis),Niederlassung München,Ottobrunn,,false,115579284,false,48.06591,11.66343,5,629000,false,3,78.11,Zuhause im Herzen von Ottobrunn: gemütliche 3-Zimmer-Wohnung mit Terrasse und moderner Ausstattung,https://www.immobilienscout24.de/expose/115579284,85521
Rathausstr. 2,,true,false,München (Kreis),Niederlassung München,Ottobrunn,,false,115579266,false,48.06591,11.66343,5,792000,false,4,96.99,Platz für die ganze Familie: 4-Zimmer-Wohnung mit zwei Balkonen im Ortskern von Ottobrunn,https://www.immobilienscout24.de/expose/115579266,85521
Rathausstr. 2,,true,false,München (Kreis),Niederlassung München,Ottobrunn,,false,115579247,false,48.06591,11.66343,5,529000,false,2,61.41,"Gemütlich, modern, hochwertig ausgestattet: 2-Zimmer-Wohnung mit Balkon im Ortskern von Ottobrunn",https://www.immobilienscout24.de/expose/115579247,85521
,,true,true,München (Kreis),Bernhard Umstädter,Unterschleißheim,,false,117538895,true,,,16,676000,false,4,104,"Neuwertige Klasse-Wohnung mit bester Ausstattung 'über den Dächern' von Unterschleißheim
",https://www.immobilienscout24.de/expose/117538895,85716
Riegerweg 12,,true,false,München (Kreis),Mathias Geiser,Taufkirchen,,false,118062335,false,48.04675,11.62703,9,945000,false,4,108.81,Große Familien-Wohnung mit 4 Zimmern und Süd-West-Balkon,https://www.immobilienscout24.de/expose/118062335,82024
Robert-Koch-Str. 27,,true,true,München (Kreis),Markus Hallmann,Ottobrunn,,false,111268258,false,48.0527,11.66019,10,484900,false,2,62.96,Ein idealer Ausgangspunkt für Alltag und Freizeit: Moderne 2-Zi.-Wohnung mit Terrasse in Ottobrunn,https://www.immobilienscout24.de/expose/111268258,85521
,,true,true,München (Kreis),Anett Müller,Unterschleißheim,,false,116936645,true,,,8,620000,false,3,96,Helle 3-Zimmer Wohnung mit großem Balkon,https://www.immobilienscout24.de/expose/116936645,85716
,,true,true,Ebersberg (Kreis),Pierre Paul Pester,Vaterstetten,,false,115778681,false,,,17,349000,false,3,66,Ihre Gelegenheit ★Hell ★Ruhig ★Hohe Decken,https://www.immobilienscout24.de/expose/115778681,85598
,,false,false,München,Dominik Hafner,Neuhausen,,false,117765291,true,,,7,860000,false,2,86.29,2-Zimmer-Altbauwohnung im Jugendstildomizil in Herzen von Neuhausen,https://www.immobilienscout24.de/expose/117765291,80636
,,true,true,München,Kathrin Röthig,Neuhausen,,false,117522251,false,,,25,550000,false,2,74,Innenhoflage in Neuhausen! Moderne 2-Zimmer-Loftwohnung mit großem Süd-Balkon und TG-Stellplatz!,https://www.immobilienscout24.de/expose/117522251,80637
,,true,false,München,Alexander Mehlstäubl,Maxvorstadt,,false,118769038,true,,,9,695000,false,2,66,AIGNER - Exklusiv Wohnen und stilvoll leben in den Nymphenburger Höfen,https://www.immobilienscout24.de/expose/118769038,80335
,,false,true,München,Anton Meister,Nymphenburg,,false,116555612,false,,,16,940000,false,4,102,Familien aufgepasst! Neuwertige 4-Zimmer-Wohnung am Hirschgarten,https://www.immobilienscout24.de/expose/116555612,80639
,,true,true,München,Philipp Gertzen,Laim,,false,119404880,true,,,10,750000,false,3,83,3-Zi.-Whg mit 2 Bädern Nähe Hirschgarten in Innenhoflage in Laim,https://www.immobilienscout24.de/expose/119404880,80687
,,true,true,München,Christopher Hildebrandt,Ludwigsvorstadt-Isarvorstadt,,false,119114145,true,,,17,799000,false,2,78.64,RARITÄT - denkmalgeschützte Altbauwohnung mit großer Terrasse,https://www.immobilienscout24.de/expose/119114145,80336
,,true,true,München,Luca Scharrer,Moosach,,false,115899530,true,,,16,698000,false,4,89.71,Traumhaft sanierte 4 Zi.-Wohnung in zentraler Lage!,https://www.immobilienscout24.de/expose/115899530,80992
,,false,false,München,Kristina Bücherl,Ludwigsvorstadt-Isarvorstadt,,false,111140587,false,,,9,649000,false,2,83,HEGERICH: Großzügige 2-Zimmer-Wohnung im denkmalgeschützten Altbau - Nahe Altstadt,https://www.immobilienscout24.de/expose/111140587,80469
Chemnitzer Platz 13,,false,true,München,Paulina Maier,Moosach,,false,119207435,true,48.18054,11.52073,15,440000,false,3.5,83.5,"Charmante DG-Wohnung ""REA"" // Erbpacht // Teilbar in zwei Einheiten",https://www.immobilienscout24.de/expose/119207435,80992
,,true,false,München,Suleiman Hotaki,Milbertshofen,,true,118245514,true,,,13,698000,false,2,72.34,Milbertshofen - Modernes Wohnflair mit sonnigem Westbalkon - Virtuelle Besichtigung/360°-Tour,https://www.immobilienscout24.de/expose/118245514,80809
,,false,true,München,,Laim,,false,118556893,true,,,8,540000,false,3,70,Helle 3-Zi.-Wohnung in ruhiger Lage,https://www.immobilienscout24.de/expose/118556893,80686
,,true,true,München,Melanie Melas,Moosach,,false,119198423,false,,,12,915000,false,4,90.43,Hier können Sie sofort einziehen - 4-Zimmer-Wohnung -  verkehrsberuhigte Lage in Moosach,https://www.immobilienscout24.de/expose/119198423,80993
,,true,true,München,Karsten de Vivanco,Moosach,,false,113962045,true,,,5,685000,false,4,107.9,Aigner - Großzügiges Wohnen mit Westbalkon in Moosach,https://www.immobilienscout24.de/expose/113962045,80993
,,true,true,München,Nicolai Schneider,Schwabing,,false,89996961,true,,,3,950000,false,4,110,"Große, helle 4-Zimmer-Wohnung mit viel Charme und zwei Terrassen in Schwabing",https://www.immobilienscout24.de/expose/89996961,80807
"Regerstraße -,/Whg60",,true,true,München,Maria Ciccarese,Haidhausen,,false,119715138,true,48.12241,11.58649,16,984000,false,3,83.41,Neues Wohnen am Nockherberg! Intelligent geplante 3-Zimmer-Wohnung mit viel Freiraum und Loggia,https://www.immobilienscout24.de/expose/119715138,81541
Leipartstraße 19,,false,true,München,Franco Tortorici,Obersendling,,false,118311532,true,48.10894,11.53739,16,495000,false,2,60,Altbauwohnung sofort bezugsbereit München Sendling,https://www.immobilienscout24.de/expose/118311532,81369
Martin Luther Straße 8,,true,true,München,Benjamin  Heiß,Obergiesing,,false,117303463,true,48.11463,11.57639,10,499000,false,3,64,"+++Schöne, lichtdurchflutete 3 Zimmer Wohnung mit Balkon in München Obergiesing+++",https://www.immobilienscout24.de/expose/117303463,81539
Willibaldstr. 132,,true,true,München,Sebastian Sterl,Hadern,,false,118243306,false,48.12526,11.48237,16,495000,false,3,65,Renoviert und bezugsfertig: Sehr schöne 3-Zimmer-Wohnung mit Terrasse ,https://www.immobilienscout24.de/expose/118243306,80689
