address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
,,true,false,München,Thomas Röthig,Neuhausen,,false,117878968,false,,,28,800000,false,3,109.3,"Neubau, für Eigennutzer und Kapitalanleger! 3-Zi.Terrassenwhg. in ruhiger Innenhoflage mit Garage!",https://www.immobilienscout24.de/expose/117878968,80637
Arnulfstraße 150-152,,true,false,München,Team QUARTIER NEUHAUSEN,Neuhausen,,false,120071201,false,48.14702,11.53201,6,859000,false,2,67.26,Hell & Großzügig: 2-Zimmer-Wohnung mit Dachterrasse und hohem Wohnkomfort in Neuhausen,https://www.immobilienscout24.de/expose/120071201,80634
,,false,true,München,Thomas Röthig,Schwanthalerhöhe,,false,120606745,false,,,36,600000,false,2,70,"Einziehen und sich Wohlfühlen! Moderne 2-Zimmer-Wohnung mit Loftcharakter an der Bavaria, Alpenblick",https://www.immobilienscout24.de/expose/120606745,80339
Hanauer Straße 6,,true,true,München,Beratung  und Verkauf,Moosach,,false,118637407,false,48.17379,11.52889,8,999900,false,4,102.22,***Ideal geschnittene 4-Zimmer-Wohnung mit sonnigem Südbalkon und großzügiger Raumaufteilung,https://www.immobilienscout24.de/expose/118637407,80992
,,false,false,München,Doris  Knoblich,Ludwigsvorstadt-Isarvorstadt,,false,120174717,true,,,11,766000,false,3,71,Münchner Top-Lage! Bestens vermietete 3-Zimmer-Wohnung (WG) in Ludwigsvorstadt-Isarvorstadt,https://www.immobilienscout24.de/expose/120174717,80337
,,true,true,München,Nadine Vonmetz,Ludwigsvorstadt-Isarvorstadt,,false,120482611,true,,,7,730000,false,2,65,Schöne 2-Zimmer-Wohnung in Toplage – Glockenbachviertel/ Isarvorstadt,https://www.immobilienscout24.de/expose/120482611,80469
,,true,true,München,Ronold Denk,Milbertshofen,,false,120379269,true,,,45,947000,false,4,100,"Exklusive 4 Zimmer-Wohnung, Raumhöhe 2,74m, Am Oberwiesenfeld direkt am Park",https://www.immobilienscout24.de/expose/120379269,80809
Ortlerstr. 11,,true,true,München,Thomas Bletschacher,Sendling-Westpark,,false,114779367,false,48.12084,11.53179,2,698000,false,2,66.48,Wirklich großzügige 2-Zimmerwohnung ,https://www.immobilienscout24.de/expose/114779367,81373
Hansastraße 181,,true,true,München,Vincent Wiederhold,Sendling-Westpark,,false,118001285,false,48.11929,11.53474,12,854900,false,3,82.17,WERTHALTIG. MODERN. ZEITLOS. - Traumhafte 3-Zimmer-Wohnung in München Sendling,https://www.immobilienscout24.de/expose/118001285,81373
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893864,false,48.18615,11.56589,5,649000,false,2,72.33,Gemütliche 2-Zimmer-Wohnung mit sonnigem Südbalkon in gut angebundener Lage im Münchner Norden,https://www.immobilienscout24.de/expose/111893864,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893859,false,48.18615,11.56589,5,909000,false,3,84.25,Großer Balkon und moderne Ausstattung: geräumige 3-Zimmer-Wohnung in Milbertshofen,https://www.immobilienscout24.de/expose/111893859,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893850,false,48.18615,11.56589,5,919000,false,3,84.47,Großer Balkon und helle Räume: moderne 3-Zimmer-Wohnung in gut angebundener Lage,https://www.immobilienscout24.de/expose/111893850,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893839,false,48.18615,11.56589,5,929000,false,3,84.17,Gut angebundene Lage: moderne 3-Zimmer-Wohnung in Milbertshofen mit großem Balkon,https://www.immobilienscout24.de/expose/111893839,80809
