,address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
91,,,True,True,München,Melanie Reitmair,Hadern,,False,115369544,False,,,7,348500.0,False,3.0,63.0,Dr. Grosdidier: Sonnige 3-Zi.-Whg. mit Blick ins Grüne! Leer! Vollständig renoviert!,https://www.immobilienscout24.de/expose/115369544,80689
93,,,True,True,München,Mathis Berger,Feldmoching,,False,113273783,False,,,15,440000.0,False,3.0,73.25,Helle 3-Zimmer-Wohnung mit zwei Balkonen und Tiefgaragen-Stellplatz in M-Feldmoching,https://www.immobilienscout24.de/expose/113273783,80995
96,,,True,True,München,Dominik Müller,Ramersdorf,,False,115023301,True,,,10,630000.0,False,3.0,71.0,Haidhausen/Obergiesing - Modernes Wohnen mit großem Balkon - Erstbezug nach aufwendiger Sanierung,https://www.immobilienscout24.de/expose/115023301,81539
100,,,False,False,München,L HOMES Team,Untergiesing,,False,111596738,False,,,7,979000.0,False,3.0,86.74,3-Zimmer-Neubauwohnung mitten in der City,https://www.immobilienscout24.de/expose/111596738,81545
102,,,True,True,München,André Schnitzke,Obermenzing,,True,113835251,True,,,8,720000.0,False,3.0,73.0,"Elegante Gartenwohnung für besondere Ansprüche.
",https://www.immobilienscout24.de/expose/113835251,81245
105,,,True,True,München,Privat von  Jörn Lehmann,Hadern,,True,114659428,True,,,14,462300.0,False,3.0,69.0,"Provisionsfreier Verkauf vermietete 3 Zi.Whng mit Garten, München-Grosshadern, Waldrandlage",https://www.immobilienscout24.de/expose/114659428,81377
110,,,True,True,München,Heinrich von Kölichen Immobilien,Feldmoching,,False,112968298,True,,,17,895000.0,False,4.0,118.0,HEINRICH v. KÖLICHEN: Luxuriöse 4-Zi-DG-Whg m. großer Terrasse in grüner Lage von Ludwigsfeld,https://www.immobilienscout24.de/expose/112968298,80995
112,,,True,True,München,Hilke Schlossberger ,Forstenried,,False,115105784,True,,,26,429000.0,False,3.0,64.5,"Sofort frei - Große 3-Zimmer-Wohnung mit Keller, Abstellkammer und Loggia mit Bergblick",https://www.immobilienscout24.de/expose/115105784,81476
113,,,True,True,München,Astrid Pilling,Solln,,False,114997867,True,,,3,649000.0,False,3.0,78.0,Charmante Immobilie in begehrter Lage in Alt-Solln,https://www.immobilienscout24.de/expose/114997867,81479
114,,,False,False,München,Rene Müller,Solln,,False,115080042,False,,,13,775000.0,False,3.0,91.0, Prinzludwigshöhe ++ Isarnähe ++ komplett saniert ++ Tiefgarage ++ Lift ++ S Bahn 450m,https://www.immobilienscout24.de/expose/115080042,81479
116,,,True,True,München,Michael Klöck,Aubing,,False,114560091,True,,,6,528000.0,False,3.0,65.0,Neuwertige 3-Zimmer-Wohnung in München-Aubing,https://www.immobilienscout24.de/expose/114560091,81245
117,,,True,False,München,Andrea Hörbrand,Solln,,False,114376184,True,,,6,445000.0,False,2.0,65.38,Gut geschnittene 2-Zi.-Whg. in toller Lage und S-Bahnnähe in Solln,https://www.immobilienscout24.de/expose/114376184,81479
119,,,False,True,München,Peter Buchwald,Allach,,True,114975330,True,,,3,535000.0,False,3.0,71.2,Meine Vorzüge | Neuwertig. Ruhig. Sonnig. Privatgarten. TG-Platz überbreit | S-Bahn,https://www.immobilienscout24.de/expose/114975330,80997
128,Kirchtruderinger Straße 19,,True,False,München,Manfred  Wendl,Trudering,,False,112028109,False,48.12631,11.674719999999999,10,999000.0,False,3.0,126.0,*NEUBAU* 3-Zimmer-Wohnung mit großem Hobbyraum in Trudering,https://www.immobilienscout24.de/expose/112028109,81829
133,,,True,False,München,Andreas Bien,Riem,,False,115025787,True,,,10,795000.0,False,4.0,94.1,Traumhafte 4-Zimmerwohnung mit ansprechnder Süd/West Terrasse.,https://www.immobilienscout24.de/expose/115025787,81829
137,,,True,True,Starnberg (Kreis),Jürgen Korus,Gauting,,False,115153083,True,,,11,695000.0,False,4.0,117.0,Alleinauftrag - Lichtdurchflutete Vierzimmerwohnung mit großem Balkon,https://www.immobilienscout24.de/expose/115153083,82131
140,Hollerweg 15,,True,False,Fürstenfeldbruck (Kreis),Gregor Sander,Gröbenzell,,True,115311434,False,48.20304,11.38232,17,749000.0,False,4.0,115.0,Neu renoviert und bezugsfertig: Terrassen-Wohnung mit 4-Zimmern inkl. Hobbyraum  ,https://www.immobilienscout24.de/expose/115311434,82194
142,,,True,True,Fürstenfeldbruck (Kreis),Marius Biller,Germering,,True,114763490,True,,,13,629000.0,False,2.5,104.87,Germering Ortszentrum - Moderne Maisonette mit traumhafter Dachterrasse,https://www.immobilienscout24.de/expose/114763490,82110
150,Werinherstraße 69,,True,True,München,Maik Naumann,Obergiesing,,True,115071896,True,48.11522,11.59384,33,675000.0,True,3.0,79.0,Elegante und gut geschnittene Maisonette-Wohnung mit schönem Ausblick (Kapitalanlage/Selbstnutzung),https://www.immobilienscout24.de/expose/115071896,81541
151,,,True,True,München,Jürgen Lutter,Solln,,True,114486453,False,,,40,895000.0,True,4.0,115.38,Ein Traum für Hobby-Freunde mit Top-Lage! neu renovierte 4-Zimmer-Wohnung mit Balkon + Hobbyraum,https://www.immobilienscout24.de/expose/114486453,81479
155,,,True,True,München,Lisa Tuchscher,Neuhausen,,False,115233034,False,,,19,785000.0,False,3.0,77.27,"Exklusive 3-Zi.-Altbauwhg. in Top-Lage, zentral mit ruhiger Innenhoflage + solide vermietet",https://www.immobilienscout24.de/expose/115233034,80637
157,,,False,True,München,Thomas Röthig,Neuhausen,,False,114475109,True,,,44,1000000.0,False,4.0,123.5,Denkmal Altbau! 3-Zimmer-DG-Wohnung ca. 123 m² mit Galerie & Baugenehmigung für Dachterrasse +Garage,https://www.immobilienscout24.de/expose/114475109,80634
159,Schulstraße 43,,False,True,München,Otto Rudolph,Neuhausen,,False,114054920,False,48.14736,11.53543,27,948000.0,False,3.0,98.0,"**Charmante, denkmalgeschützte Wohnung in der Innenstadt**",https://www.immobilienscout24.de/expose/114054920,80634
163,,,True,True,München,"Nikolaus Ziegelmayer, VK",Neuhausen,,False,110418112,False,,,15,669000.0,False,4.0,69.0,"elvirA! Neuhausen, schöne und gut geschnittene 4-Zimmer-Wohnung mit Loggia und TG-Einzelstellplatz",https://www.immobilienscout24.de/expose/110418112,80634
164,,,True,True,München,Axel Mohr,Maxvorstadt,,False,115397842,True,,,5,590000.0,False,2.5,78.0,"Teilungsversteigerung Etagenwohnung in 80797 München, Winzererstr.",https://www.immobilienscout24.de/expose/115397842,80797
165,Winzererstraße XXX,,True,False,München,,Maxvorstadt,,False,115392334,False,48.15569,11.55992,5,590000.0,False,2.0,77.8,2-Zimmer Wohnung mit Balkon,https://www.immobilienscout24.de/expose/115392334,80797
166,Winzererstraße 32,,False,False,München,Nikolaus Eichinger,Maxvorstadt,,False,115387219,False,48.15548,11.56007,0,590000.0,False,2.5,77.8,Versteigerungstermin 10.02.2020,https://www.immobilienscout24.de/expose/115387219,80797
